mlbam_id,player_name,team,age,games,BF,IP,IP_est,H,ER,RA,ERA,BB,SO,HR,HBP,WHIP,K9,BB9,pitches,Zone_pct,Whiff_pct,Chase_pct,CSW_pct,avg_velo,avg_spin_rpm,xwOBA_on_BIP,HH_pct_against,GB_pct_on_BIP
682790,Wikelman González,CLT,23,4,19,3.333,3,5,3,3,8.1,6,4,1,0,3.3,10.8,16.2,84,0.4286,0.2692,0.1875,0.3095,92.1143,2320.8333,,0.6667,0.5556
663782,Joe Corbett,BLX,29,5,13,3.333,3,4,3,3,8.1,1,4,1,0,1.5,10.8,2.7,64,0.4688,0.3871,0.2353,0.3281,86.8672,2362.8906,,0.75,0.25
702878,Douglas Orellana,SYR,23,5,16,3.333,3,3,5,5,13.5,3,3,0,1,1.8,8.1,8.1,61,0.3934,0.4091,0.2432,0.3279,90.3224,2385.1633,,0.4444,0.3333
695667,Ben Kudrna,OMA,23,2,21,3.333,3,9,8,8,21.6,3,4,0,0,3.6,10.8,8.1,78,0.5128,0.2121,0.2368,0.2949,88.7974,2197.2821,,0.5,0.3571
681077,Michael Knorr,HOU,25,2,16,3.333,2.667,4,1,2,2.7,1,3,0,0,1.5,8.1,2.7,36,0.5833,0.2632,0.2,0.2778,88.5083,1983.4167,,0.125,0.375
691414,Yorman Gómez,COL,23,2,16,3.333,2.667,5,4,4,10.8,4,1,1,0,2.7,2.7,10.8,58,0.4138,0.2273,0.2647,0.2586,90.8086,2106.5517,,0.4545,0.5455
641962,CD Pelham,MID,31,3,14,3.333,2,3,1,1,2.7,2,2,0,0,1.5,5.4,5.4,43,0.3953,0.2,0.3077,0.2093,92.6628,2099.0698,,0.4286,0.5714
806046,Alex Clemmey,HBG,20,1,12,3,3.667,0,0,2,0,1,2,0,0,0.3333,6,3,50,0.56,0.25,0.1364,0.28,88.638,2288.8,,0.4444,0.4444
656353,Tucker Davidson,LHV,29,2,21,3,3.667,6,4,7,12,4,2,0,0,3.3333,6,12,64,0.4844,0.3,0.2424,0.25,86.5828,1977.8438,,0.4667,0.3333
814388,Hayden Snelsire,BG,25,3,13,3,3.333,2,0,0,0,1,2,0,0,1,6,3,45,0.4889,0.1739,0.2609,0.1778,88.2289,2196.6,,0.5,0.3
700669,Gordon Graceffo,MEM,25,3,13,3,3.333,3,0,0,0,0,2,0,0,1,6,0,43,0.3953,0.3636,0.3846,0.3256,93.5023,2090.3488,,0.3636,0.5455
657611,Cam Hill,DUR,31,3,11,3,3.333,0,0,0,0,1,4,0,0,0.3333,12,3,41,0.439,0.4583,0.4348,0.3415,88.06,2377.525,,0.5,0.5
