mlbam_id,player_name,team,age,games,PA,AB,H,1B,2B,3B,HR,R,RBI,SB,BB,SO,HBP,SF,SH,GIDP,AVG,OBP,SLG,OPS,K_pct,BB_pct,wOBA,xwOBA_on_BIP,HH_pct,GB_pct_on_BIP,EV_avg_on_BIP,LA_avg_on_BIP,bat_speed_avg,swing_length_avg
670042,"Raley, Luke",SEA,31,17,52,43,12,6,3,0,3,8,8,1,6,14,3,0,0,0,0.2791,0.4038,0.5581,0.962,27%,12%,,,38%,38%,88.7571,20.069,,
664034,"France, Ty",ELP,31,18,52,47,15,9,4,0,2,4,12,0,3,7,1,1,0,3,0.3191,0.3654,0.5319,0.8973,13%,6%,,,32%,49%,84.8,12.95,,
680977,"Donovan, Brendan",SEA,29,15,51,42,18,14,3,0,1,10,9,2,5,6,2,2,0,0,0.4286,0.4902,0.5714,1.0616,12%,10%,,,42%,24%,90.1526,18.6053,,
669326,"Teodosio, Bryce",LAA,26,18,51,45,11,8,2,1,0,7,1,6,3,11,1,0,2,2,0.2444,0.3061,0.3333,0.6395,22%,6%,,,19%,53%,74.1,7.25,,
607208,"Turner, Trea",PHI,32,15,51,43,6,2,4,0,0,8,4,1,7,9,1,0,0,1,0.1395,0.2745,0.2326,0.5071,18%,14%,,,38%,44%,90.2303,9.5152,,
669369,"Johnson, Bryce",SD,30,17,51,46,14,8,4,0,2,9,6,3,5,13,0,0,0,1,0.3043,0.3725,0.5217,0.8943,25%,10%,,,48%,30%,88.6281,13.8438,,
628451,"Ibáñez, Andy",ATH,32,16,51,47,16,10,4,0,2,6,8,1,4,10,0,0,0,0,0.3404,0.3922,0.5532,0.9453,20%,8%,,,49%,30%,92.0361,20.4444,,
800473,"Rojas, Jefferson",CHC,20,19,51,48,12,4,4,0,4,8,11,0,3,12,0,0,0,4,0.25,0.2941,0.5833,0.8775,24%,6%,,,50%,36%,93.8514,17.2286,,
672724,"Peraza, Oswald",LAA,25,16,51,48,16,8,6,0,2,5,8,6,3,10,0,0,0,2,0.3333,0.3725,0.5833,0.9559,20%,6%,,,50%,47%,93.5158,8.9211,,
696486,"Tibbs III, James",LAD,23,20,51,43,14,7,3,1,3,7,9,0,6,20,0,2,0,0,0.3256,0.3922,0.6512,1.0433,39%,12%,,,60%,44%,93.192,17.04,,
669304,"Miranda, Jose",ELP,27,20,51,46,14,8,4,0,2,6,9,0,4,12,1,0,0,3,0.3043,0.3725,0.5217,0.8943,24%,8%,,,47%,41%,87.7515,12.5758,,
677649,"Duran, Ezequiel",TEX,26,17,51,43,13,6,4,0,3,7,10,0,7,10,1,0,0,1,0.3023,0.4118,0.6047,1.0164,20%,14%,,,45%,36%,93.703,15.0909,,
701398,"Stewart, Sal",CIN,22,17,51,42,15,8,4,0,3,11,8,4,9,7,0,0,0,1,0.3571,0.4706,0.6667,1.1373,14%,18%,,,54%,43%,95.2848,13.2121,,
686217,"Frelick, Sal",MIL,25,15,51,46,10,8,1,1,0,6,5,2,5,4,0,0,0,1,0.2174,0.2941,0.2826,0.5767,8%,10%,,,36%,64%,88.9162,4.2162,,
592206,"Castellanos, Nick",SD,33,17,50,43,9,5,2,0,2,7,7,0,5,7,2,0,0,2,0.2093,0.32,0.3953,0.7153,14%,10%,,,39%,42%,92.2848,19.8788,,
807712,"Keaschall, Luke",MIN,23,16,50,47,17,8,5,2,2,8,9,2,1,2,2,0,0,0,0.3617,0.4,0.6809,1.0809,4%,2%,,,44%,29%,88.4289,18.1556,,
682829,"De La Cruz, Elly",CIN,24,16,50,46,13,3,6,2,2,7,12,3,4,13,0,0,0,2,0.2826,0.34,0.6304,0.9704,26%,8%,,,64%,42%,96.6156,9.625,,
696100,"Goodman, Hunter",COL,26,15,50,43,8,4,1,0,3,4,10,0,4,9,1,2,0,1,0.186,0.26,0.4186,0.6786,18%,8%,,,47%,39%,91.475,16.6944,,
686797,"Lee, Brooks",MIN,25,16,50,45,14,11,2,1,0,4,2,2,4,6,1,0,0,0,0.3111,0.38,0.4,0.78,12%,8%,,,31%,46%,85.6816,13.4211,,
